time_s,x_m,y_m,z_m,qx,qy,qz,qw,frame_id,child_frame_id
1786133639.0110822,0.356327821880134,0.020701211694684564,0.0,0.0,0.0,0.08224305049553304,0.9966123020739756,odom,base_link
1786133639.0749989,0.356327821880134,0.020701211694684564,0.0,0.0,0.0,0.08224305049553304,0.9966123020739756,odom,base_link
1786133639.1868742,0.35727715463590703,0.020855021189085336,0.0,0.0,0.0,0.08022508531378068,0.9967767732478504,odom,base_link
1786133639.298725,0.35664244157147756,0.02076445868790006,0.0,0.0,0.0,0.07080369990410683,0.9974902686642558,odom,base_link
1786133639.3946538,0.3569606497872929,0.020803305715871453,0.0,0.0,0.0,0.0607023665208748,0.9981559110172946,odom,base_link
1786133639.5068924,0.3575989314671831,0.02086379321784489,0.0,0.0,0.0,0.04722442425650332,0.9988843044885838,odom,base_link
1786133639.5704432,0.35791811283854374,0.020893606174272186,0.0,0.0,0.0,0.04655028088001949,0.9989159480907246,odom,base_link
1786133639.6346912,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133639.6818027,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133639.7461183,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133639.794388,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133639.8575935,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133639.9060047,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133639.9695797,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133640.0659637,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133640.2089128,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133640.2736294,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133640.3377817,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133640.3856812,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133640.4495373,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133640.5136492,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133640.5771127,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133640.6569314,0.3582373341598091,0.02092298828182436,0.0,0.0,0.0,0.04587611630125083,0.9989471367160097,odom,base_link
1786133640.817152,0.3595148353771517,0.021033621020205603,0.0,0.0,0.0,0.04317925210471308,0.99906734116759,odom,base_link
1786133641.0402632,0.3611132739814882,0.02115250345386103,0.0,0.0,0.0,0.03711018709519055,0.9993111797702255,odom,base_link
1786133641.2154424,0.36335431763228077,0.02126755042156339,0.0,0.0,0.0,0.02564284321809543,0.9996711682306798,odom,base_link
1786133641.2803748,0.3636744886174778,0.021283553559772444,0.0,0.0,0.0,0.02496817371349976,0.9996882465556012,odom,base_link
1786133641.344402,0.3639946377104482,0.02129998884087278,0.0,0.0,0.0,0.025642843218095426,0.9996711682306798,odom,base_link
1786133641.408192,0.3639946377104482,0.02129998884087278,0.0,0.0,0.0,0.025642843218095426,0.9996711682306798,odom,base_link
1786133641.4562485,0.3639946377104482,0.02129998884087278,0.0,0.0,0.0,0.025642843218095426,0.9996711682306798,odom,base_link
